stringsfile version 1
1573
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_s5_s_party {s5}'s_Party
str_given_by_s1_at_s2 Given_by_{s1}_at_{s2}
str_given_by_s1_in_wilderness Given_by_{s1}_whilst_in_the_field
str_s7_raiders {s7}_Raiders
str_credits_1 Mount&Blade:_Warband_Copyright_2008-2010_Taleworlds_Entertainment
str_credits_2 Game_design:^Armagan_Yavuz^Steve_Negus^Cem_Cimenbicer
str_credits_3 Programming:^Armagan_Yavuz^Cem_Cimenbicer^Serdar_Kocdemir^Ozan_Gumus
str_credits_4 CG_Artists:^Ozgur_Saral^Mustafa_Ozturk^Pinar_Cekic^Ozan_Unlu^Yigit_Savtur^Umit_Singil
str_credits_5 Concept_Artist:^Ganbat_Badamkhand
str_credits_6 Writing:^Steve_Negus^Armagan_Yavuz^Ryan_A._Span
str_credits_7 Original_Music:^Jesse_Hopkins
str_credits_8 Voice_Talent:^Tassilo_Egloffstein
